"","koi_disposition","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"38","CONFIRMED",4.959319244,5.15e-07,-5.15e-07,172.2585292,8.27e-05,-8.27e-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802,20,-20,12.21,1.96,-1.46,1103,349.4,146.52,-93.21,696.5,5712,77,-77,4.359,0.11,-0.11,1.082,0.173,-0.13,292.16705,48.727589,15.263
"59","FALSE POSITIVE",40.4195037,0.0001139,-0.0001139,173.56469,0.00222,-0.00222,0.911,5.567,-0.118,3.362,0.14,-0.14,6256,230,-230,7.51,1.12,-0.91,467,11.29,5.67,-3.57,36.9,5446,179,-163,4.507,0.116,-0.105,0.781,0.116,-0.095,294.31686,50.080231,15.487
"63","FALSE POSITIVE",7.2406612,1.617e-05,-1.617e-05,137.75545,0.002,-0.002,1.198,49.85,-0.258,0.558,0.171,-0.171,556.4,44.1,-44.1,19.45,1.4,-0.71,734,68.63,15.32,-8.86,13.7,5005,79,-79,4.595,0.012,-0.064,0.765,0.055,-0.028,293.83331,50.23035,15.334
"64","FALSE POSITIVE",3.43591631,4.729e-05,-4.729e-05,132.6624,0.011,-0.011,0.624,0.037,-0.476,3.133,0.407,-0.407,23.2,3.4,-3.4,0.55,0.08,-0.07,1272,617.61,251.11,-186.88,8.7,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,287.88733,46.276241,12.791
"73","FALSE POSITIVE",1.626630225,1.015e-06,-1.015e-06,169.820171,0.000487,-0.000487,1.26,4.827,-0.043,2.1145,0.0285,-0.0285,1620.6,19,-19,32.43,9,-4.83,1547,1355.88,1105.99,-486.6,103.6,5735,155,-172,4.41,0.124,-0.186,0.973,0.27,-0.145,294.36819,38.31028,15.279
"85","FALSE POSITIVE",10.181584004,6.188e-06,-6.188e-06,177.141891,0.000483,-0.000483,0.92,0.007,-0.005,3.5089,0.0331,-0.0331,5741.1,53.2,-53.2,7.73,2.17,-0.72,812,102.91,86.75,-28.91,183.6,5988,179,-197,4.541,0.048,-0.192,0.836,0.234,-0.078,291.28195,38.241669,15.657
"93","CONFIRMED",19.620346923,3.73e-06,-3.73e-06,181.881819,0.000148,-0.000148,0.458,0.08,-0.165,2.0038,0.0292,-0.0292,21725,85,-85,13.6,1.82,-0.92,643,40.39,14.34,-7.31,340.5,5710,76,-85,4.492,0.048,-0.112,0.905,0.121,-0.061,293.81619,38.563568,15.562
"95","CONFIRMED",9.02930689,1.648e-05,-1.648e-05,177.20422,0.00142,-0.00142,0.024,0.401,-0.024,3.1449,0.0528,-0.0528,1019.8,21.9,-21.9,2.57,0.44,-0.26,757,77.75,43.01,-22.28,53.9,5349,167,-167,4.526,0.063,-0.108,0.82,0.141,-0.082,290.33362,38.72823,15.387
"104","CONFIRMED",4.783002698,5.432e-06,-5.432e-06,170.508434,0.000943,-0.000943,0.003,0.425,-0.003,2.335,0.0332,-0.0332,1008.7,16.6,-16.6,2.5,0.34,-0.19,886,145.48,66.39,-35.12,70.6,5170,155,-155,4.574,0.026,-0.097,0.807,0.111,-0.06,287.09399,39.060719,15.119
"113","FALSE POSITIVE",34.84398644,4.036e-05,-4.036e-05,172.633252,0.00094,-0.00094,0.934,0.575,-0.031,2.9315,0.0702,-0.0702,4523.6,82.5,-82.5,7.61,1.72,-0.91,511,16.1,11.1,-5.08,76.8,5509,166,-166,4.482,0.081,-0.15,0.871,0.196,-0.105,285.92001,39.624828,15.684
"154","CONFIRMED",6.54626149,2.668e-05,-2.668e-05,133.85964,0.00317,-0.00317,0.644,0.295,-0.438,2.75,0.111,-0.111,655.9,30,-30,2.19,0.22,-0.08,810,101.78,31.02,-14.45,24.8,5251,105,-105,4.581,0.01,-0.085,0.817,0.08,-0.029,292.23676,41.08588,15.855
"166","CONFIRMED",235.9986399,0.0002773,-0.0002773,208.399822,0.000898,-0.000898,0.778,0.006,-0.008,8.2284,0.0606,-0.0606,20715,91.7,-91.7,10.59,0.35,-0.52,188,0.29,0.05,-0.04,271.8,4245,85,-85,4.627,0.03,-0.018,0.657,0.022,-0.032,293.00797,42.307201,15.172
"172","FALSE POSITIVE",39.74893077,1.554e-05,-1.554e-05,172.854644,0.000301,-0.000301,0.881,0.003,-0.003,7.3051,0.0213,-0.0213,15179,44.1,-44.1,14.21,4.46,-1.49,552,21.87,20.59,-6.71,561.1,6122,181,-218,4.487,0.052,-0.208,0.964,0.303,-0.101,293.17929,41.969238,15.344
"184","CONFIRMED",119.0207044,0.0001179,-0.0001179,222.236492,0.000704,-0.000704,0.076,0.173,-0.076,8.1405,0.0382,-0.0382,7430.5,38.4,-38.4,8.98,1.23,-1.35,366,4.25,1.58,-1.34,223.5,5453,81,-73,4.342,0.144,-0.108,1.062,0.146,-0.16,291.58377,42.36816,15.085
"196","CONFIRMED",20.5452375,0.0001428,-0.0001428,137.91394,0.00358,-0.00358,0.95,0.007,-0.668,2.517,0.0947,-0.0947,218.5,14,-14,2.41,0.56,-0.63,742,71.57,60.96,-38.29,18.5,5670,280,-229,4.206,0.241,-0.13,1.264,0.298,-0.328,294.40192,50.172089,12.003
"202","CONFIRMED",4.220965778,2.584e-06,-2.584e-06,170.622433,0.000491,-0.000491,0.705,0.061,-0.311,3.0854,0.0645,-0.0645,2260,17.9,-17.9,2.62,0.58,-0.58,595,29.68,41.22,-16.05,157.8,3837,481,-259,4.747,0.105,-0.094,0.517,0.114,-0.114,296.69394,42.62611,15.692
"211","CONFIRMED",3.96996298,1.395e-05,-1.395e-05,137.75447,0.0031,-0.0031,0.836,0.101,-0.602,1.1757,0.097,-0.097,299.2,24.5,-24.5,1.78,0.09,-0.16,992,229.37,41.51,-50.3,15,5121,76,-84,4.457,0.091,-0.039,0.888,0.049,-0.077,290.39322,43.363899,15.193
"216","FALSE POSITIVE",2.688899233,1.9e-07,-1.9e-07,170.1020904,5.61e-05,-5.61e-05,0.001,0.061,-0.001,2.11275,0.00254,-0.00254,37492,44,-44,12.04,1.36,-0.79,929,175.76,66.28,-39.88,1011.6,4820,130,-144,4.667,0.027,-0.063,0.639,0.072,-0.042,296.68307,42.967869,15.766
"230","CONFIRMED",12.732624065,4.397e-06,-4.397e-06,176.939054,0.000273,-0.000273,0.811,0.02,-0.033,2.2083,0.0432,-0.0432,6465.7,41,-41,4.87,0.97,-0.96,432,8.22,11.81,-4.37,210.5,3950,560,-301,4.721,0.104,-0.085,0.541,0.107,-0.107,285.16748,43.876339,15.75
"231","CONFIRMED",83.92494032,7.999e-05,-7.999e-05,236.76334,0.000718,-0.000718,0.658,0.031,-0.052,6.7904,0.0748,-0.0748,7958.7,54.8,-54.8,4.78,0.34,-0.47,226,0.62,0.18,-0.18,182.1,3960,118,-130,4.746,0.045,-0.04,0.509,0.036,-0.05,287.85239,43.897991,15.754
"247","CONFIRMED",13.81020318,2.968e-05,-2.968e-05,172.33533,0.00175,-0.00175,0.791,0.033,-0.543,3.048,0.0635,-0.0635,1309.7,31.5,-31.5,4.56,1.33,-0.88,833,113.75,99.51,-49.06,46.2,5942,176,-193,4.327,0.136,-0.187,1.142,0.333,-0.222,281.96063,43.70311,15.425
"253","CONFIRMED",3.886655224,7.822e-06,-7.822e-06,169.73814,0.00155,-0.00155,0.649,0.053,-0.476,3.1646,0.0604,-0.0604,581.6,13.9,-13.9,1.87,0.36,-0.15,1010,246.29,141.54,-59.99,48.1,5662,153,-153,4.61,0.032,-0.12,0.738,0.14,-0.06,288.72665,44.60751,15.371
"269","CONFIRMED",2.494170338,1.264e-06,-1.264e-06,170.852848,0.000426,-0.000426,0.095,0.239,-0.095,1.1221,0.0175,-0.0175,863.7,13.9,-13.9,2.42,0.24,-0.12,1194,480.19,142.04,-79.6,69.2,5569,99,-110,4.566,0.02,-0.08,0.829,0.082,-0.041,284.75943,45.599129,15.251
"287","CONFIRMED",39.4759093,0.0001317,-0.0001317,173.31207,0.0025,-0.0025,0.938,0.011,-0.647,2.968,0.146,-0.146,1012.6,42.8,-42.8,4.06,1.31,-0.44,577,26.13,24.8,-8.31,26.6,6225,172,-237,4.45,0.054,-0.216,1.031,0.332,-0.111,291.20804,45.244389,15.229
"304","CONFIRMED",9.61731426,3.35e-05,-3.35e-05,142.47479,0.00284,-0.00284,0.331,0.081,-0.331,3.8692,0.0772,-0.0772,234,13.6,-13.6,1.94,0.29,-0.38,1010,246.13,105.29,-100.36,18.2,6035,120,-120,4.22,0.168,-0.112,1.257,0.187,-0.25,294.02301,45.853081,15.237
"312","FALSE POSITIVE",102.9641952,0.0005766,-0.0005766,158.07473,0.00377,-0.00377,0.922,0.005,-0.007,15.735,0.263,-0.263,1896.7,27.3,-27.3,39,1.1,-9.39,797,95.4,8.7,-47.04,86.1,5047,40,-160,3.066,0.033,-0.027,7.119,0.201,-1.713,296.81772,46.781509,13.608
"316","FALSE POSITIVE",90.1240507,0.0004433,-0.0004433,356.23415,0.0032,-0.0032,0.698,0.079,-0.415,11.649,0.28,-0.28,3020.3,57.5,-57.5,7.12,2.41,-0.8,485,13.09,13.03,-4.26,57.9,6520,180,-248,4.375,0.056,-0.224,1.215,0.41,-0.137,293.22391,38.033581,14.96
"319","CONFIRMED",0.689210173,4.5e-07,-4.5e-07,133.28584,0.00052,-0.00052,0.154,0.271,-0.154,1.6169,0.0179,-0.0179,195,2.4,-2.4,1.32,0.19,-0.06,1943,3362.71,1364.69,-528.86,93.4,5630,100,-122,4.505,0.023,-0.128,0.954,0.138,-0.039,281.55118,47.469959,13.248
"320","CONFIRMED",7.34373964,1.134e-05,-1.134e-05,137.29874,0.00128,-0.00128,0.185,0.269,-0.185,1.1784,0.0466,-0.0466,574.4,21.8,-21.8,1.84,0.4,-0.14,839,117.5,77.15,-27.07,32.2,5757,155,-155,4.597,0.036,-0.144,0.762,0.168,-0.056,296.23215,47.678959,14.657
"345","CONFIRMED",13.118962443,6.039e-06,-6.039e-06,261.539434,0.000329,-0.000329,0.042,0.271,-0.042,4.3045,0.0122,-0.0122,372.2,1.5,-1.5,8.25,0.45,-2.5,1768,2310.43,419.83,-1290.11,267.4,7221,114,-171,3.488,0.272,-0.048,4.24,0.227,-1.284,282.00031,48.542221,9.275
"348","CONFIRMED",53.5057611,0.0001596,-0.0001596,172.98304,0.00248,-0.00248,0.46,0.002,-0.441,10.5616,0.077,-0.077,195.6,3.1,-3.1,2.52,0.16,-0.12,675,49.16,9.16,-6.52,71.2,6247,75,-69,4.016,0.03,-0.027,1.762,0.112,-0.084,295.80267,45.988079,9.582
"354","CONFIRMED",6.79685353,2.247e-05,-2.247e-05,138.11324,0.00297,-0.00297,0.62,0.33,-0.389,3.1702,0.0835,-0.0835,393.1,14.9,-14.9,2.01,0.62,-0.2,985,222.91,206.66,-65.9,29.8,6061,180,-198,4.486,0.05,-0.2,0.97,0.3,-0.1,294.16321,41.451801,15.391
"361","FALSE POSITIVE",13.4471791,1.247e-05,-1.247e-05,132.830555,0.00077,-0.00077,0.963,0.013,-0.008,3.0454,0.0546,-0.0546,1428.2,21.1,-21.1,5.24,1.64,-0.7,848,122.34,112.28,-42.14,105.3,6276,169,-206,4.405,0.087,-0.203,1.041,0.326,-0.14,292.37476,37.630959,14
"367","FALSE POSITIVE",1.353771892,3.751e-06,-3.751e-06,261.43662,0.002,-0.002,1.203,0.56,-0.137,7.012,0.212,-0.212,1349.1,23.3,-23.3,430.99,136.1,-48.62,4903,136609.48,117403.45,-34984.84,76.7,4283,77,-60,2.012,0.112,-0.137,15.76,4.978,-1.778,292.71964,48.852016,10.523
"379","CONFIRMED",37.8102649,0.0002147,-0.0002147,158.35799,0.00479,-0.00479,0.061,0.337,-0.061,8.733,0.132,-0.132,570.3,18.2,-18.2,2.33,0.72,-0.29,566,24.27,22.61,-7.99,35.2,6085,182,-200,4.451,0.081,-0.202,0.973,0.302,-0.121,289.7767,38.26228,14.633
"391","CONFIRMED",4.28746668,1.524e-05,-1.524e-05,262.06245,0.00211,-0.00211,0.374,0.083,-0.374,1.5693,0.0785,-0.0785,790.1,49.7,-49.7,2.29,0.22,-0.1,942,186.31,56.73,-28.39,19.4,5296,105,-105,4.576,0.015,-0.085,0.815,0.08,-0.034,291.0488,36.839882,11.631
"403","FALSE POSITIVE",7.37290344,2.732e-05,-2.732e-05,137.60991,0.00322,-0.00322,0.993,0.039,-0.714,2.172,0.208,-0.208,205.2,12.2,-12.2,2.67,0.42,-0.31,1004,240.11,104.98,-69.08,19.1,5973,107,-131,4.371,0.099,-0.121,1.07,0.168,-0.126,291.65097,38.028179,13.835
"405","FALSE POSITIVE",119.0624882,0.0001479,-0.0001479,149.22223,0.00104,-0.00104,0.968,0.423,-0.045,3.1188,0.0589,-0.0589,5372.3,94.1,-94.1,10.4,2.82,-1.89,366,4.26,3.51,-1.74,71.6,5697,173,-173,4.392,0.171,-0.19,0.92,0.25,-0.167,287.88812,39.078709,15.289
"416","FALSE POSITIVE",5.670155713,5.441e-06,-5.441e-06,136.201739,0.000777,-0.000777,1.267,66.56,-0.225,0.9361,0.0608,-0.0608,536.7,19.6,-19.6,5.85,2.81,-1.22,341,3.21,4.86,-1.33,37.3,3337,115,-57,5.126,0.104,-0.127,0.183,0.088,-0.038,292.26181,41.442554,13.783
"429","CONFIRMED",2.757584622,6.935e-06,-6.935e-06,133.05017,0.00209,-0.00209,0.093,0.352,-0.093,0.9267,0.0793,-0.0793,563.1,37,-37,1.01,0.11,-0.13,615,33.79,10.93,-10.56,19.6,3683,73,-88,4.84,0.05,-0.055,0.424,0.045,-0.055,292.57703,39.12088,15.597
"443","FALSE POSITIVE",1.187352427,2.53e-07,-2.53e-07,133.465454,0.000176,-0.000176,1.222,0.026,-0.029,4.999,0.0139,-0.0139,20703,37.3,-37.3,67.35,20.04,-16.42,2251,6067.3,5334.23,-3101.3,717.4,6424,179,-247,4.186,0.18,-0.18,1.489,0.443,-0.363,285.06335,44.167885,13.623
"453","CONFIRMED",8.17242644,2.683e-05,-2.683e-05,361.20157,0.0024,-0.0024,0.926,0.017,-0.648,3.902,0.141,-0.141,864.3,26,-26,3.29,0.44,-0.19,858,127.95,45.45,-20.22,37,5705,76,-76,4.499,0.045,-0.113,0.905,0.121,-0.052,293.87363,38.922482,15.24
"456","CONFIRMED",4.2989201,2.01e-05,-2.01e-05,132.86187,0.00396,-0.00396,0.972,0.032,-0.757,2.747,0.131,-0.131,237.6,13.7,-13.7,2.12,0.27,-0.27,1046,283.62,100.01,-78.24,20,5300,87,-71,4.385,0.132,-0.088,0.986,0.124,-0.124,291.14249,37.061321,14.613
"462","FALSE POSITIVE",5.714817603,1.249e-06,-1.249e-06,355.00831,0.000154,-0.000154,0.096,0.121,-0.066,3.14126,0.00573,-0.00573,12295,26.4,-26.4,9.29,2.47,-0.99,943,187.27,154.76,-56.76,537.7,5695,189,-189,4.526,0.058,-0.173,0.842,0.224,-0.09,299.78632,44.16954,15.623
"467","FALSE POSITIVE",2.83668931,2.819e-05,-2.819e-05,353.81531,0.00636,-0.00636,0.33,0.13,-0.33,3.031,0.23,-0.23,166.1,15.7,-15.7,1.19,0.39,-0.12,1242,562.48,558.76,-169.45,12.1,5831,184,-205,4.517,0.038,-0.212,0.921,0.301,-0.094,290.21518,41.77597,15.808
"484","CONFIRMED",2.624234833,3.89e-07,-3.89e-07,132.304988,0.000122,-0.000122,0.781,0.057,-0.39,1.3874,0.0316,-0.0316,2607,8.9,-8.9,5.11,0.6,-0.23,1164,434.31,151.68,-68.35,361.1,5340,106,-106,4.514,0.033,-0.104,0.899,0.105,-0.04,288.0383,50.651611,13.687
"508","FALSE POSITIVE",1.343767797,3.2e-07,-3.2e-07,133.275862,0.000188,-0.000188,0.891,0.004,-0.008,1.9405,0.0227,-0.0227,4702.6,26.3,-26.3,18.66,3.99,-9.3,2654,11675.38,7851.09,-9136.11,269.8,6324,204,-227,3.8,0.52,-0.13,2.312,0.494,-1.152,299.70078,47.291752,13.056
"512","FALSE POSITIVE",0.553261874,9.3e-08,-9.3e-08,133.446605,0.000137,-0.000137,1.246,1.85,-0.045,0.8875,0.00657,-0.00657,1038.1,4.9,-4.9,97.36,29.1,-67.89,3689,43709.08,41093.63,-40244.87,202.2,5679,202,-202,3.565,0.84,-0.21,3.142,0.939,-2.191,301.47577,44.319759,13.501
"536","CONFIRMED",30.5872153,0.0001313,-0.0001313,162.8842,0.00281,-0.00281,0.013,0.424,-0.013,5.3698,0.0906,-0.0906,464.8,16.1,-16.1,2.32,0.39,-0.24,621,35.08,16.21,-9.22,33.1,5944,106,-130,4.38,0.08,-0.12,1.082,0.181,-0.111,296.54861,44.264671,14.143
"540","FALSE POSITIVE",3.108251172,1.59e-06,-1.59e-06,170.244566,0.000409,-0.000409,0.9,0.012,-0.026,2.5048,0.0646,-0.0646,1867.7,15.5,-15.5,4.43,0.74,-0.49,1096,340.69,180.7,-99.18,156.5,5330,159,-143,4.495,0.085,-0.114,0.847,0.141,-0.094,294.79974,46.207569,15.361
"541","CONFIRMED",25.8474958,0.0001702,-0.0001702,188.874,0.00462,-0.00462,0.054,0.421,-0.054,5.985,0.148,-0.148,537.4,21.4,-21.4,2.4,0.75,-0.25,672,48.23,43.85,-14.74,27.3,6297,169,-225,4.448,0.052,-0.208,1.031,0.32,-0.107,297.9516,46.264721,15.083
"542","CONFIRMED",40.715561,0.0002096,-0.0002096,146.36485,0.00408,-0.00408,0.008,0.407,-0.008,6.894,0.131,-0.131,680.9,25.2,-25.2,2.7,0.84,-0.28,578,26.34,23.94,-8.05,28.9,6297,169,-225,4.448,0.052,-0.208,1.031,0.32,-0.107,297.9516,46.264721,15.083
"551","CONFIRMED",6.50327035,3.134e-05,-3.134e-05,135.26657,0.00357,-0.00357,0.08,0.375,-0.08,2.591,0.131,-0.131,418.3,24.1,-24.1,1.67,0.08,-0.12,804,98.81,16.62,-18.82,19,4999,79,-79,4.49,0.075,-0.03,0.843,0.04,-0.06,292.14447,47.157349,15.692
"552","CONFIRMED",4.09667624,1.956e-05,-1.956e-05,133.09833,0.00376,-0.00376,0.142,0.32,-0.142,2.19,0.122,-0.122,302.3,20.4,-20.4,1.42,0.07,-0.1,938,182.9,30.76,-34.85,16.2,4999,79,-79,4.49,0.075,-0.03,0.843,0.04,-0.06,292.14447,47.157349,15.692
"562","FALSE POSITIVE",34.193600311,3.658e-06,-3.658e-06,155.2966351,8.58e-05,-8.58e-05,0.625,0.004,-0.005,5.41382,0.00803,-0.00803,13715,11.6,-11.6,21.95,3.79,-4.63,778,86.74,43.36,-36.96,1405.6,6129,135,-123,3.991,0.175,-0.094,1.786,0.308,-0.377,297.36032,40.42981,13.325
"564","CONFIRMED",31.201692472,3.701e-06,-3.701e-06,183.4076137,9.57e-05,-9.57e-05,0.001,0.358,-0.112,2.15663,0.00988,-0.00988,34514,74.7,-74.7,8.31,0.52,-0.63,286,1.59,0.31,-0.32,607.4,3748,56,-61,4.796,0.042,-0.028,0.449,0.028,-0.034,292.65704,46.537338,15.798
"573","FALSE POSITIVE",22.65117451,1.474e-05,-1.474e-05,140.337593,0.000551,-0.000551,0.925,0.003,-0.004,3.6895,0.0364,-0.0364,2250,17.5,-17.5,7.62,2.93,-0.98,855,126.57,144.35,-44.3,170.1,6968,194,-267,4.31,0.058,-0.232,1.333,0.513,-0.171,290.10333,39.781631,13.682
"575","CONFIRMED",7.71790675,4.487e-05,-4.487e-05,139.15725,0.00467,-0.00467,0.112,0.347,-0.112,1.84,0.148,-0.148,306.8,29.2,-29.2,0.9,0.06,-0.07,502,15.01,3.53,-3.2,12.6,3975,71,-87,4.753,0.031,-0.038,0.509,0.037,-0.037,281.05011,47.188148,15.233
"581","FALSE POSITIVE",6.810823723,1.014e-06,-1.014e-06,136.04667,0.000115,-0.000115,0.57,0.011,-0.01,7.98574,0.00861,-0.00861,14447,12,-12,26.06,6.36,-9.53,1626,1656.16,1245.3,-1094.83,1441.9,7226,228,-304,3.967,0.315,-0.135,2.079,0.507,-0.76,299.10281,47.377781,12.628
"597","CONFIRMED",12.21828097,1.128e-05,-1.128e-05,140.321095,0.000745,-0.000745,0.778,0.027,-0.556,2.6969,0.0669,-0.0669,1843.4,23.2,-23.2,5.1,0.76,-0.62,835,114.59,48.15,-33.11,90.1,5822,105,-116,4.351,0.115,-0.115,1.081,0.162,-0.132,294.4335,38.35545,14.696
"603","FALSE POSITIVE",64.617518,0.0001938,-0.0001938,166.14425,0.00236,-0.00236,0.9,0.018,-0.064,5.796,0.235,-0.235,2486.6,50.2,-50.2,5.4,0.55,-0.61,383,5.09,1.94,-1.53,61.9,5043,164,-149,4.47,0.104,-0.095,0.881,0.09,-0.099,297.01483,47.486431,15.332
"613","CONFIRMED",32.3122867,0.0001736,-0.0001736,133.867,0.0047,-0.0047,0.934,0.005,-0.646,6.569,0.208,-0.208,677.8,22.6,-22.6,4.84,0.79,-1.06,699,56.49,24.19,-23.8,33.6,5821,79,-79,4.108,0.182,-0.098,1.494,0.244,-0.326,292.29099,37.580799,14.757
"614","CONFIRMED",9.22961384,4.278e-05,-4.278e-05,138.43961,0.00422,-0.00422,0.067,0.393,-0.067,2.235,0.117,-0.117,492.1,29.7,-29.7,2.79,0.47,-0.19,1021,257.11,111.43,-45.91,19.3,6320,75,-88,4.347,0.032,-0.12,1.252,0.212,-0.085,291.13849,37.859299,15.399
"619","CONFIRMED",51.59809554,4.631e-05,-4.631e-05,203.979914,0.000721,-0.000721,0.251,0.15,-0.251,2.0153,0.0363,-0.0363,5869.2,87.1,-87.1,6.57,1.9,-0.59,449,9.61,8.34,-2.57,79.7,5681,169,-169,4.551,0.034,-0.195,0.859,0.248,-0.078,287.61688,38.402321,15.617
"630","CONFIRMED",21.76129812,1.727e-05,-1.727e-05,166.540438,0.000641,-0.000641,0.123,0.288,-0.123,1.243,0.026,-0.026,1300.7,26.8,-26.8,2.53,0.16,-0.1,486,13.18,3,-1.98,60,4859,97,-97,4.612,0.015,-0.045,0.72,0.047,-0.029,291.25449,36.74361,12.559
"631","CONFIRMED",12.713794177,2.6e-07,-2.6e-07,175.0725677,1.5e-05,-1.5e-05,0.485,0.081,-0.072,2.44093,0.00378,-0.00378,36719,12,-12,2.31,0,0,181,0.26,0,0,2981.3,2661,0,0,5.283,0,0,0.116,0,0,287.55972,46.957085,13.102
"646","CONFIRMED",7.053934488,7.693e-06,-7.693e-06,136.357253,0.000874,-0.000874,0.899,0.003,-0.623,1.7244,0.0315,-0.0315,511.5,10.6,-10.6,2.36,0.2,-0.17,840,117.33,32.05,-24.79,56.3,5357,107,-107,4.498,0.058,-0.065,0.863,0.073,-0.065,291.06293,47.484798,13.916
"648","CONFIRMED",7.6746614,2.378e-05,-2.378e-05,133.22431,0.00265,-0.00265,0.939,0.007,-0.651,1.9374,0.0698,-0.0698,503,28.3,-28.3,2.8,0.89,-0.29,957,198.67,191.59,-62.8,20.8,6063,190,-232,4.47,0.054,-0.216,1.001,0.318,-0.106,296.13141,47.43882,15.44
"662","FALSE POSITIVE",0.764017553,3.767e-06,-3.767e-06,132.2214,0.00448,-0.00448,0.442,0.5,-0.237,1.103,0.143,-0.143,128.2,13,-13,0.86,0.12,-0.07,1589,1503.79,649.53,-390.73,13.2,5142,153,-153,4.602,0.033,-0.083,0.755,0.097,-0.065,286.41,42.681549,15.596
"664","CONFIRMED",20.51360192,8.345e-05,-8.345e-05,357.49424,0.0031,-0.0031,0.703,0.017,-0.52,3.4769,0.0947,-0.0947,1174.1,41.1,-41.1,2.58,0.36,-0.23,540,20.15,9.98,-5.61,32.3,5310,185,-185,4.608,0.045,-0.078,0.704,0.1,-0.062,281.60541,42.390419,15.406
"666","FALSE POSITIVE",150.0189511,0.0001744,-0.0001744,224.685714,0.000916,-0.000916,1.252,67.03,-0.169,4.3823,0.0486,-0.0486,4319.7,46.8,-46.8,32.6,3.6,-2.94,325,2.62,0.88,-0.62,106.2,5618,112,-112,4.46,0.081,-0.09,0.897,0.099,-0.081,283.20917,48.777641,14.232
"669","CONFIRMED",205.912735,0.001169,-0.001169,252.74129,0.00324,-0.00324,0.196,0.228,-0.196,9.992,0.153,-0.153,2378.8,53.9,-53.9,4.68,0.68,-0.32,298,1.85,0.72,-0.34,49.4,5644,76,-84,4.457,0.051,-0.11,0.969,0.142,-0.066,292.3515,48.511082,15.531
"671","CONFIRMED",0.783276173,1.269e-06,-1.269e-06,355.94865,0.00112,-0.00112,0.041,0.4,-0.04,1.6735,0.0357,-0.0357,264.7,6.7,-6.7,1.98,0.31,-0.34,2149,5056.88,2049.01,-1766.17,46.9,5640,76,-76,4.247,0.162,-0.108,1.233,0.19,-0.211,292.17859,42.005909,15.005
"672","CONFIRMED",3.17405898,1.098e-05,-1.098e-05,357.05776,0.00229,-0.00229,0.422,0.042,-0.422,2.3156,0.0703,-0.0703,282.2,10.8,-10.8,2.09,0.32,-0.36,1348,780.46,316.24,-272.58,29.2,5640,76,-76,4.247,0.162,-0.108,1.233,0.19,-0.211,292.17859,42.005909,15.005
"690","CONFIRMED",345.1589354,0.000426,-0.000426,318.307719,0.000785,-0.000785,0.87,0.004,-0.007,7.5646,0.0644,-0.0644,5087.9,32.1,-32.1,7.79,1.13,-0.36,241,0.8,0.34,-0.13,197.9,5597,112,-112,4.515,0.021,-0.119,0.931,0.136,-0.042,287.02228,48.681938,13.46
"692","FALSE POSITIVE",99.6442783,0.0001073,-0.0001073,283.236289,0.000761,-0.000761,0.966,0.029,-0.018,5.1772,0.0643,-0.0643,3215.6,29.6,-29.6,8.48,1.27,-0.55,415,6.98,2.77,-1.23,163.2,6102,82,-91,4.447,0.04,-0.12,1.016,0.153,-0.066,292.22839,42.03537,13.75
"712","CONFIRMED",19.03723442,7.375e-05,-7.375e-05,148.55057,0.00325,-0.00325,0.033,0.4,-0.033,3.3882,0.0924,-0.0924,401.3,18.5,-18.5,5.74,1.29,-0.93,1051,288.04,166.34,-97.18,25.3,5248,68,-73,3.523,0.117,-0.143,2.892,0.648,-0.471,291.42755,41.878159,14.898
"720","CONFIRMED",83.5781976,0.000278,-0.000278,202.45865,0.00253,-0.00253,0.544,0.001,-0.484,7.2487,0.098,-0.098,630.8,13.3,-13.3,6.63,0.88,-2.06,655,43.62,15.44,-23.84,54.9,6056,81,-72,3.788,0.264,-0.066,2.562,0.341,-0.795,283.53296,48.094261,13.498
"740","CONFIRMED",6.84639884,1.924e-05,-1.924e-05,133.76181,0.00237,-0.00237,0.9,0.011,-0.627,3.4919,0.0593,-0.0593,149.7,4.6,-4.6,1.9,0.35,-0.28,1132,387.84,198.25,-130.26,36.3,6065,121,-133,4.251,0.125,-0.125,1.31,0.238,-0.194,295.29385,48.374802,13.137
"741","CONFIRMED",7.64970832,4.366e-05,-4.366e-05,138.33113,0.00477,-0.00477,0.898,0.021,-0.658,6.625,0.11,-0.11,55.4,2,-2,1.43,0.23,-0.31,1144,404.99,178.19,-176.31,28.5,5855,105,-117,4.125,0.168,-0.112,1.613,0.255,-0.351,290.55237,48.126263,11.926
"745","CONFIRMED",3.016182013,9.751e-06,-9.751e-06,133.88395,0.00266,-0.00266,0.732,0.182,-0.491,2.8349,0.0793,-0.0793,222.5,8.1,-8.1,2.25,0.37,-0.45,1449,1044.49,459.93,-414.44,31.9,5611,84,-75,4.144,0.195,-0.105,1.4,0.231,-0.283,293.46902,42.822411,14.878
