"","koi_disposition","koi_period","koi_period_err1","koi_period_err2","koi_time0bk","koi_time0bk_err1","koi_time0bk_err2","koi_impact","koi_impact_err1","koi_impact_err2","koi_duration","koi_duration_err1","koi_duration_err2","koi_depth","koi_depth_err1","koi_depth_err2","koi_prad","koi_prad_err1","koi_prad_err2","koi_teq","koi_insol","koi_insol_err1","koi_insol_err2","koi_model_snr","koi_steff","koi_steff_err1","koi_steff_err2","koi_slogg","koi_slogg_err1","koi_slogg_err2","koi_srad","koi_srad_err1","koi_srad_err2","ra","dec","koi_kepmag"
"1494","FALSE POSITIVE",8.27745764,4.611e-05,-4.611e-05,138.25667,0.00471,-0.00471,0.261,0.188,-0.261,2.713,0.138,-0.138,197.2,13.4,-13.4,2.46,1.26,-1.53,1088,331.35,518.86,-289.3,17.3,5129,153,-138,3.884,0.707,-0.303,1.781,0.909,-1.111,297.02109,41.377171,13.115
"1496","CONFIRMED",6.31219171,2.202e-05,-2.202e-05,136.93315,0.00292,-0.00292,0.018,0.41,-0.018,4.9377,0.0922,-0.0922,403.7,13.3,-13.3,2.17,0.7,-0.23,1096,342.04,324.93,-106.57,35.6,6322,169,-225,4.426,0.054,-0.216,1.075,0.349,-0.116,292.13525,37.889622,14.959
"1497","CONFIRMED",147.97391,0.00116,-0.00116,263.08561,0.00512,-0.00512,0.034,0.412,-0.034,6.854,0.168,-0.168,1267.1,53.5,-53.5,3.33,0.43,-0.29,329,2.78,1.03,-0.64,26.4,5578,100,-111,4.44,0.09,-0.099,0.95,0.123,-0.082,292.59164,38.399658,14.904
"1505","CONFIRMED",3.07644709,1.038e-05,-1.038e-05,353.7643,0.00224,-0.00224,0.708,0.235,-0.505,2.6326,0.0693,-0.0693,216.7,8.1,-8.1,1.61,0.23,-0.17,1253,583.25,244.51,-153.16,29.3,5670,114,-114,4.397,0.095,-0.105,1.022,0.148,-0.108,291.55695,39.227291,14.028
"1506","FALSE POSITIVE",2.11913005,2.116e-05,-2.116e-05,132.59,0.00929,-0.00929,0.67,0.006,-0.511,4.141,0.261,-0.261,28.7,1.6,-1.6,1.35,0.12,-0.15,2090,4512.1,1134.6,-1121.81,21.5,5799,78,-78,3.813,0.078,-0.052,2.377,0.212,-0.26,294.2869,40.21381,7.837
"1510","CONFIRMED",63.0380366,0.0002293,-0.0002293,169.12161,0.00282,-0.00282,0.021,0.356,-0.021,7.3702,0.0855,-0.0855,658.7,14.2,-14.2,2.59,0.39,-0.22,465,11.1,4.61,-2.55,53.1,5798,104,-116,4.411,0.085,-0.114,1.019,0.151,-0.088,283.80954,41.041241,13.605
"1517","FALSE POSITIVE",134.4785189,0.0001705,-0.0001705,169.28141,0.00103,-0.00103,0.924,0.004,-0.004,5.9288,0.0565,-0.0565,4033.5,46,-46,10.52,1.65,-2.01,412,6.81,3.06,-2.67,149.9,5791,117,-105,4.185,0.182,-0.098,1.336,0.209,-0.256,289.34143,46.988239,13.929
"1518","FALSE POSITIVE",5.007414194,1.164e-06,-1.164e-06,135.024066,0.00018,-0.00018,0.926,0.086,-0.007,1.3584,0.0168,-0.0168,4413.9,28.3,-28.3,8.8,1.42,-0.71,1114,363.75,162.95,-82.45,196.6,5957,107,-131,4.417,0.063,-0.117,1.042,0.168,-0.084,297.64606,47.167488,13.592
"1522","CONFIRMED",17.50441726,4.694e-05,-4.694e-05,135.74731,0.00217,-0.00217,0.006,0.406,-0.006,4.2585,0.0648,-0.0648,725.4,17.1,-17.1,3.56,0.53,-0.73,824,108.78,42.49,-43.47,47.5,5815,78,-78,4.16,0.203,-0.101,1.329,0.197,-0.271,292.16617,38.739052,13.926
"1525","CONFIRMED",33.7888028,0.0001466,-0.0001466,153.65384,0.00345,-0.00345,0.078,0.344,-0.078,5.496,0.102,-0.102,649.2,20.6,-20.6,2.71,0.89,-0.3,611,33.01,31.75,-10.08,36,6202,166,-203,4.436,0.054,-0.202,1.062,0.349,-0.116,285.66711,48.719559,13.631
"1526","CONFIRMED",3.215109385,7.879e-06,-7.879e-06,133.77747,0.00197,-0.00197,0.954,0.107,-0.712,4.365,0.112,-0.112,158,3.4,-3.4,1.54,0.19,-0.12,1155,421.21,151.7,-87.25,53.3,5541,100,-111,4.472,0.056,-0.104,0.934,0.117,-0.068,289.43811,39.270359,13.405
"1535","CONFIRMED",86.7490807,0.0005499,-0.0005499,170.29281,0.00472,-0.00472,0.003,0.406,-0.003,9.179,0.135,-0.135,547.1,17.3,-17.3,2.23,0.31,-0.22,398,5.94,2.35,-1.45,35.7,5579,111,-100,4.419,0.1,-0.1,0.97,0.132,-0.096,292.77399,37.797691,13.82
"1539","FALSE POSITIVE",3.261759866,1.167e-06,-1.167e-06,131.778858,0.000322,-0.000322,0.949,0.035,-0.026,1.7593,0.0301,-0.0301,3876.1,32.2,-32.2,8.01,2.66,-0.89,1262,599.54,605.46,-194.11,190.4,6131,191,-234,4.497,0.054,-0.229,0.945,0.315,-0.105,298.31674,40.996101,15.28
"1556","FALSE POSITIVE",2.466070972,3.827e-06,-3.827e-06,132.32097,0.00129,-0.00129,1.223,12.53,-0.044,1.9559,0.0639,-0.0639,704.5,20.1,-20.1,24.3,7.12,-2.37,1260,595.8,523.57,-170.54,42.6,5708,169,-186,4.529,0.048,-0.192,0.884,0.259,-0.086,296.05042,42.113239,15.601
"1564","CONFIRMED",92.7297248,0.000398,-0.000398,177.43808,0.00347,-0.00347,0.857,0.056,-0.597,6.83,0.153,-0.153,1257.5,31.9,-31.9,2.81,0.2,-0.08,276,1.38,0.32,-0.19,43.3,4580,92,-92,4.641,0.012,-0.045,0.675,0.046,-0.021,285.25366,46.582191,14.897
"1566","FALSE POSITIVE",30.5231459,6.607e-05,-6.607e-05,146.85072,0.00176,-0.00176,1.06,69.68,-0.391,2.7286,0.0888,-0.0888,2212.3,67.8,-67.8,11.26,2.33,-1,506,15.46,9.93,-4.09,38.7,5518,166,-166,4.585,0.034,-0.136,0.79,0.164,-0.07,288.31332,46.771431,15.841
"1568","CONFIRMED",28.78270955,9.174e-05,-9.174e-05,132.3189,0.00241,-0.00241,0.002,0.501,-0.001,3.451,0.108,-0.108,864.5,25.7,-25.7,2.11,0.09,-0.11,443,9.09,1.53,-1.37,40.1,4774,86,-76,4.58,0.03,-0.03,0.745,0.032,-0.036,284.96967,39.360291,14.649
"1590","CONFIRMED",124.03589939,9.126e-05,-9.126e-05,136.015098,0.00065,-0.00065,0.075,0.175,-0.075,4.8472,0.0278,-0.0278,7690,47.1,-47.1,11.13,1.8,-1.8,413,6.88,2.93,-2.3,190.1,5822,79,-79,4.244,0.143,-0.104,1.28,0.207,-0.207,287.97031,47.972099,14.989
"1592","CONFIRMED",10.84969477,2.777e-05,-2.777e-05,136.74432,0.0021,-0.0021,0.55,0.28,-0.347,3.474,0.0673,-0.0673,1122.1,27.5,-27.5,2.67,0.38,-0.21,676,49.3,23.34,-12.14,43.5,5251,158,-158,4.592,0.032,-0.097,0.778,0.112,-0.06,286.00674,38.009541,15.409
"1593","CONFIRMED",12.18420006,4.127e-05,-4.127e-05,139.05644,0.00282,-0.00282,0.746,0.035,-0.533,2.5014,0.0863,-0.0863,499.3,22.5,-22.5,2.59,0.39,-0.29,819,106.52,44.98,-29.08,23.3,5771,104,-115,4.374,0.105,-0.105,1.068,0.161,-0.12,290.32867,37.72311,13.982
"1597","CONFIRMED",13.59051547,5.634e-05,-5.634e-05,133.07217,0.0033,-0.0033,0.232,0.222,-0.231,3.784,0.104,-0.104,621.9,24.9,-24.9,2.4,0.61,-0.33,724,64.8,50.06,-22.05,27.7,5442,164,-164,4.409,0.135,-0.18,0.974,0.248,-0.133,297.95416,44.66748,15.15
"1599","CONFIRMED",89.1935737,0.0002301,-0.0002301,217.82184,0.00204,-0.00204,0.015,0.406,-0.015,4.0104,0.072,-0.072,868.3,23.2,-23.2,3.81,0.69,-0.62,483,12.83,6.63,-4.61,43.5,6071,134,-134,4.239,0.143,-0.117,1.295,0.232,-0.211,294.74332,43.461208,12.487
"1605","CONFIRMED",40.80957343,9.427e-05,-9.427e-05,142.69218,0.002,-0.002,0.949,0.051,-0.675,3.158,0.127,-0.127,436.1,12.5,-12.5,3.44,0.58,-0.34,623,35.68,16.6,-9.11,39.3,6183,110,-134,4.301,0.066,-0.114,1.3,0.219,-0.128,286.22324,38.258171,12.988
"1613","CONFIRMED",8.29482811,2.179e-05,-2.179e-05,133.50201,0.0024,-0.0024,0.932,0.042,-0.684,2.7437,0.0778,-0.0778,559.5,16.3,-16.3,2.76,0.79,-0.34,876,139.38,119.78,-46.7,38.1,5773,173,-208,4.478,0.067,-0.202,0.939,0.268,-0.115,283.34427,48.223911,14.469
"1623","CONFIRMED",10.240611361,5.615e-06,-5.615e-06,131.667897,0.00044,-0.00044,0.786,0.016,-0.558,0.9617,0.0241,-0.0241,2958,53.8,-53.8,3.9,0.34,-0.34,656,43.85,15.22,-11.53,72,5227,173,-157,4.623,0.066,-0.044,0.64,0.056,-0.056,291.68329,44.75164,15.408
"1630","CONFIRMED",4.77502117,1.784e-05,-1.784e-05,355.45644,0.00258,-0.00258,0.518,0.009,-0.478,1.7087,0.0882,-0.0882,451.4,31.9,-31.9,1.73,0.24,-0.22,926,174.23,85.8,-59.33,16.7,5275,184,-184,4.505,0.104,-0.095,0.796,0.112,-0.102,295.9024,39.918362,15.462
"1633","CONFIRMED",5.69590202,1.593e-06,-1.593e-06,139.231637,0.000221,-0.000221,0.049,0.15,-0.049,3.5661,0.0106,-0.0106,4921.1,15,-15,6.61,2.13,-0.71,1043,279.61,273.07,-88.96,391.2,6106,190,-233,4.497,0.052,-0.221,0.94,0.303,-0.101,296.1398,41.60318,14.858
"1643","CONFIRMED",150.8783198,0.0005029,-0.0005029,206.69223,0.00213,-0.00213,0.022,0.4,-0.022,8.6797,0.0826,-0.0826,659.9,10.8,-10.8,4.37,0.65,-1.53,423,7.56,3.09,-4.54,70.6,5504,87,-76,3.999,0.304,-0.095,1.737,0.261,-0.608,297.94016,40.278629,12.443
"1650","FALSE POSITIVE",9.18189122,6.36e-05,-6.36e-05,132.40505,0.00526,-0.00526,0.971,0.005,-0.678,4.343,0.239,-0.239,363.6,22.6,-22.6,2.17,0.61,-0.2,804,98.61,80.84,-25.96,18.2,5741,155,-155,4.555,0.034,-0.195,0.846,0.236,-0.079,286.27386,48.61871,15.338
"1651","CONFIRMED",2.64622742,2.06e-05,-2.06e-05,132.66343,0.00722,-0.00722,0.478,0.11,-0.393,1.407,0.252,-0.252,155.5,26.1,-26.1,0.99,0.07,-0.05,1082,324.38,75.53,-56.91,8.4,5167,103,-103,4.555,0.036,-0.05,0.787,0.053,-0.043,292.23993,48.51157,15.498
"1652","CONFIRMED",2.935362067,5.061e-06,-5.061e-06,136.18415,0.00154,-0.00154,0.86,0.036,-0.62,1.5043,0.0388,-0.0388,1052.6,32.2,-32.2,3.15,0.24,-0.32,1022,258.48,83.62,-77.74,38,4922,169,-169,4.505,0.084,-0.056,0.823,0.062,-0.085,285.21667,41.282429,15.622
"1661","CONFIRMED",3.62275506,1.499e-05,-1.499e-05,132.99267,0.00351,-0.00351,0.007,0.456,-0.007,2.7868,0.098,-0.098,180.6,9.2,-9.2,1.62,0.27,-0.24,1304,683.84,295.78,-216.38,22.3,5794,78,-78,4.282,0.137,-0.112,1.216,0.201,-0.183,297.20154,41.730209,14.762
"1669","CONFIRMED",6.69332825,2.101e-05,-2.101e-05,137.70324,0.00259,-0.00259,0.952,0.02,-0.673,2.311,0.103,-0.103,781.8,38.5,-38.5,2.44,0.1,-0.12,609,32.54,5.62,-5.47,23.4,4245,85,-85,4.641,0.027,-0.02,0.637,0.026,-0.032,300.24222,44.141399,15.673
"1670","CONFIRMED",33.1362861,0.0002392,-0.0002392,169.50676,0.00583,-0.00583,0.791,0.147,-0.538,4.163,0.18,-0.18,825.2,54,-54,2.05,0.08,-0.1,357,3.86,0.67,-0.65,16.3,4245,85,-85,4.641,0.027,-0.02,0.637,0.026,-0.032,300.24222,44.141399,15.673
"1671","CONFIRMED",7.72513619,5.341e-05,-5.341e-05,176.80202,0.00501,-0.00501,0.954,0.024,-0.68,2.042,0.174,-0.174,382.2,43.4,-43.4,1.71,0.07,-0.09,581,26.91,4.65,-4.52,10.5,4245,85,-85,4.641,0.027,-0.02,0.637,0.026,-0.032,300.24222,44.141399,15.673
"1674","CONFIRMED",12.19140405,4.507e-05,-4.507e-05,136.33677,0.00312,-0.00312,0.091,0.371,-0.091,1.8832,0.0983,-0.0983,665.8,40.7,-40.7,2.46,0.67,-0.41,763,80.01,65.27,-30.82,19.4,5516,166,-166,4.399,0.144,-0.176,0.967,0.261,-0.161,300.1705,43.98497,15.364
"1683","CONFIRMED",9.75374033,4.46e-05,-4.46e-05,134.06014,0.00353,-0.00353,0.295,0.171,-0.295,2.348,0.111,-0.111,430.8,26.9,-26.9,1.87,0.48,-0.17,813,103.3,77.65,-27.81,18.9,5806,157,-175,4.528,0.044,-0.187,0.899,0.229,-0.082,293.90057,50.427052,15.158
